no,title,local_category,food_category_1st,food_category_2nd,dining_food_cate_1,dining_food_cate_2,information,isParking,isValet,isPet,isPackaging,isReservation,address,telephone,menu1,price1,menu2,price2,menu_URL,diningcode_Star,diningcode_Score,comment,comment_weight,rank_score,mon_business,mon_breaktime,tues_business,tues_breaktime,wed_business,wed_breaktime,thurs_business,thurs_breaktime,fri_business,fri_breaktime,sat_business,sat_breaktime,sun_business,sun_breaktime,latitude,longitude,img_file1,img_file2,closest_parking_name,closest_parking_address,closest_parking_latitude,closest_parking_longitude
976,르프리크,성수,양식,햄버거,치킨버거,체리토마토,"이국적/이색적, 점심식사, 저녁식사, 저녁, 점심, 포장가능, 무료주차, 배달",TRUE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 302-8 블루스톤타워 지하1층 (계단 이용),0507-1376-0199,SIGNATURE,"12,800원",CHAT POTATO,"7,300원",https://www.diningcode.com/profile.php?rid=Q0VRuxfnupFg,4.4,89,51,0.9,352.44, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30, 11:30 - 21:00, 15:00 - 17:30,37.54436423,127.0526735,C:\projects\blackmamba\media\976_01.jpg,C:\projects\blackmamba\media\976_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
52,소문난 성수 감자탕,성수,한식,백반,감자탕,수제비,"서민적인, 아침식사, 점심식사, 저녁식사, 연중무휴, 새벽, 점심, 아침, 24시간영업, 포장가능, 발렛파킹",FALSE,TRUE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 315-100,02-465-6580,감자국식사 우거지,"12,000원",감자국식사 일반,"11,000원",https://www.diningcode.com/profile.php?rid=jAL2mG45kQKq,4.1,91,167,0.9,335.79, 00:00 - 24:00,, 00:00 - 24:00,, 00:00 - 24:00,, 00:00 - 24:00,, 00:00 - 24:00,, 00:00 - 24:00,, 00:00 - 24:00,,37.54288543,127.0544295,C:\projects\blackmamba\media\52_01.jpg,C:\projects\blackmamba\media\52_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
1,할머니의 레시피,서울숲,한식,백반,한식,쌈밥정식,"깔끔한, 점심식사, 저녁식사, 저녁, 점심",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-108,0507-1429-5101,고추장불고기(평일점심특선),"8,000원",버섯불고기(평일점심특선),"8,000원",https://www.diningcode.com/profile.php?rid=OHHZtgfztiGO,4.2,87,47,0.9,328.86, 11:30 - 21:10, 15:30 - 17:00, 11:30 - 21:10, 15:30 - 17:00, 11:30 - 21:10, 15:30 - 17:00, 11:30 - 21:10, 15:30 - 17:00, 11:30 - 21:10, 15:30 - 17:00, 11:30 - 21:10, 15:30 - 17:00, 11:30 - 21:10, 15:30 - 17:00,37.54613333,127.0431493,C:\projects\blackmamba\media\1_01.jpg,C:\projects\blackmamba\media\1_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
1143,제스티 살룬 성수,성수동,양식,햄버거,쉬림프버거,갈릭버거,"캐주얼한, 점심식사, 저녁식사, 저녁, 점심, 테라스, 포장가능, 셀프바",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 668-30,0507-1371-2622,제스티 갈릭 버거,"10,300원",와사비 쉬림프 버거,"11,300원",https://www.diningcode.com/profile.php?rid=htU9ffZp5dDx,4.2,84,73,0.9,317.52, 11:30 - 21:00,, 11:30 - 21:00,, 11:30 - 21:00,, 11:30 - 21:00,, 11:30 - 21:00,, 11:30 - 21:00,, 11:30 - 21:00,,37.54754175,127.0424645,C:\projects\blackmamba\media\1143_01.jpg,C:\projects\blackmamba\media\1143_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
272,온량,서울숲,양식,파스타,파스타,토마호크,"예쁜, 점심식사, 저녁식사, 저녁, 점심",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-54,02-6403-3643,토마호크 포크 커틀렛,,스파이시 로제 파스타,"18,000원",https://www.diningcode.com/profile.php?rid=HdhgC9iUQRbl,4.5,84,34,0.8,302.4, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,,37.54691221,127.0434889,C:\projects\blackmamba\media\272_01.jpg,C:\projects\blackmamba\media\272_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
35,능동미나리 성수점,성수,한식,곰탕,미나리,미나리곰탕,"서민적인, 아침식사, 점심식사, 저녁식사, 저녁, 점심, 24시간영업, 포장가능",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 310-14,0507-1488-8183,능동모둠수육,"59,000원",미나리곱창전골,"58,000원",https://www.diningcode.com/profile.php?rid=4VzaA9lYCxTz,4.6,80,34,0.8,294.4, 10:00 - 02:00,, 10:00 - 02:00,, 10:00 - 02:00,, 10:00 - 02:00,, 10:00 - 02:00,, 10:00 - 02:00,, 10:00 - 02:00,,37.54274842,127.0539606,C:\projects\blackmamba\media\35_01.jpg,C:\projects\blackmamba\media\35_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
572,어니언 성수점,성수동,카페,베이커리,베이커리,빵,"캐주얼한, 아침식사, 점심식사, 저녁식사, 저녁, 아침, 테라스, 야외테라스, 정원",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 277-135,0507-1386-3238,아메리카노(Americano),"5,500원",이 초콜릿 라떼는 최고라고 자부한다.,"7,000원",https://www.diningcode.com/profile.php?rid=gwMOA9twBJDG,3.9,83,89,0.9,291.33, 08:00 - 22:00,, 08:00 - 22:00,, 08:00 - 22:00,, 09:00 - 22:00,, 08:00 - 22:00,, 09:00 - 22:00,, 09:00 - 22:00,,37.5447173,127.0582993,C:\projects\blackmamba\media\572_01.jpg,C:\projects\blackmamba\media\572_02.jpg,성수역3번출구앞 노상공영주차장,서울 성동구 성수동2가 276-5,37.54307999,127.0606405
696,밀도,성수,카페,베이커리,빵,식빵,"캐주얼한, 점심식사, 저녁식사, 저녁, 점심, 테이크아웃",FALSE,FALSE,FALSE,TRUE,FALSE,서울시 성동구 성수동1가 656-442,0507-1476-5052,담백식빵,"7,800원",리치식빵,"7,800원",https://www.diningcode.com/profile.php?rid=MmQltiiCw0Z1,4.3,82,33,0.8,282.08, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,,37.54624206,127.0448935,C:\projects\blackmamba\media\696_01.jpg,C:\projects\blackmamba\media\696_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
274,누메로도스,성수,양식,파스타,파스타,마스카포네피자,"캐주얼한, 점심식사, 저녁식사, 콜키지, 콜키지프리, 예약가능",FALSE,FALSE,FALSE,FALSE,TRUE,서울특별시 성동구 성수동1가 656-1021,02-468-7943,마스카포네,"20,000원",스콜리오,"23,000원",https://www.diningcode.com/profile.php?rid=4Pm4ParsyhZX,4.3,81,37,0.8,278.64, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00, 11:00 - 21:00, 15:00 - 17:00,37.54635021,127.0473417,C:\projects\blackmamba\media\274_01.jpg,C:\projects\blackmamba\media\274_02.jpg,성수1가2동평면 공영주차장,서울 성동구 성수동1가 13-22,37.55002504,127.0497336
331,할아버지공장,성수,카페,카페,카페,커피,"이국적/이색적, 점심식사, 저녁식사, 테라스, 야외테라스, 정원, 주차",TRUE,FALSE,FALSE,FALSE,FALSE,서울 성동구 성수동2가 309-133,0507-1317-2301,커피,6000~8000,베이커리,5000~17000,https://www.diningcode.com/profile.php?rid=HLnHOjp0kjSr,3.9,78,47,0.9,273.78, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,,37.5411235,127.0548805,C:\projects\blackmamba\media\331_01.jpg,C:\projects\blackmamba\media\331_02.jpg,뚝도시장 노상공영주차장,서울 성동구 성수동2가 335-166,37.53819962,127.0545791
